"Yes","Да"
"Add link in top menu","Добавить ссылку в верхнее меню"
"Adds link to reviews page in top menu","Будет добавлена ссылка на страницу отзывов в верхнее меню."
"Add link in footer menu","Добавить ссылку в нижнее меню"
"Adds link to reviews page in footer menu","Будет добавлена ссылка на страницу отзывов в нижнее меню."
"Link label in top menu","Название ссылки в верхнем меню"
"Link label in footer menu","Название ссылки в нижнем меню"
"Page header","Заголовок на странице"
"Reviews page template","Шаблон страницы отзывов"
"List","Список"
"Table","Таблица"
"More","Ещё"
"Address to shop reviews page. Default: <b>shop-reviews</b>  <br><a href="" "" id=""reviews_url"" target=""_blank""></a>","Адрес страницы со всеми отзывами о магазине. По умолчанию: <b>shop-reviews</b> <br><a href="" "" id=""reviews_url"" target=""_blank""></a>"
"Send email notification about new review","Оповещать о новом отзыве"
"Show notification","Показывать оповещения в панели администрирования"
"Shop Reviews Notification Settings","Настройки оповещения"
"Show notification an admin panel","Показывать оповещение в панели администрирования"
"Recipient","Получатель"
"Sender","Отправитель"
"Email Template","Шаблон письма"
"With module comes two templates for viewing reviews in different way. Choose more suitable for your store and modify it. Default: List","В комплекте с модулем идёт 2 шаблона, отображающих отзывы в разном виде. Выберите более подходящий для своего магазина и модифицируйте его. По умолчанию: Список"
"My shop reviews","Мои отзывы о магазине"
"Notification toolbar will be displayed if there is pending reviews. If pre-moderation is disabled all reviews will be approved automatically. Default: Yes","Будет отображаться тулбар оповещения, если есть необработанные отзывы. Если отключена премодерация, все отзывы буду автоматически одобрены. По умолчанию: Да"
"Pending","Ожидает проверку"
"Meta page title","Мета заголовок страницы"
"Meta description","Мета описание"
"Meta keywords","Мета ключевые слова"
"Enable rating","Включить оценки"
"Rating","Оценка"
"Customer city","Город пользователя"
"Shop Review - Notification about new review to admin","Отзывы о магазине - Оповещение администратора о новом отзыве"
"Shop Review - Notification about new review to customer","Отзывы о магазине - Оповещение посетителя о новом отзыве"
"Shop Review - Notification to customer about an answer","Отзывы о магазине - Оповещение посетителя об ответе на отзыв"

"SEO Settings","Настройки SEO"
"You can specify multiple recipients. Comma separated. For example: admin1@example.com,admin2@example.com","Вы можете указать нескольких получателей, разделив их запятой. Например: admin1@example.com,admin2@example.com"
"Show statistic block","Показывать блок со статистикой"
"Enable comments text length limit","Включить ограничение длины отзыва"
"Review maximum length","Максимальная длина отзыва"
"Character count. Default: 500. Cut the comment's text if its longer than the specified number of characters","Число знаков. По умолчанию: 500. Обрезает текст отзыва, если он длинее указанного количества символов"
"Navigation toolbar in review section","Навигационное меню в разделе отзывов"
"Works only with the ""Reviews autoload"" setting turned off","Работает только с выключенной подгрузкой отзывов"
"Score style","Дизайн оценок"
"Score style preview","Предпросмотр дизайна оценок"
"Additional field","Дополнительное поле"
"Add additional field","Включить дополнительное поле"
"Display this field for","Пользователи, которые видят поле"
"Field title","Название поля"
"This field is required","Обязательное поле"
"Display this field data in review list","Показывать поле в списке отзывов"
"Field text in review list","Название поля в списке отзывов"
"This text will be displayed after the user\'s name. Use %s to display the field value in this text. Example: This field value is %s","Данный текст будет показан после имени пользователя. Используйте %s чтобы отобразить значение этого поля в данном тексте. Например: Значение поля — %s"
"Adds link to reviews page in top menu. Note: some themes does not use top links.",Добавляет ссылку на отзывы о магазине в верхнее меню. Обратите внимание, в некоторых темах эти ссылки не используются."
"Default: Shop Reviews","По умолчанию: Shop Reviews"
"Notification toolbar will be displayed if there are pending reviews. Default: Yes","Включает панель оповещения, если имеются непроверенные отзывы. По умолчанию: Да"

"Show both Toolbars","Показывать обе панели"
"Show only top Toolbar","Показывать верхнюю панель"
"Show only bottom Toolbar","Показывать нижнюю панель"
"Button bottom (without page reload)","Нижняя кнопка (без перезагрузки страницы)"

"Star set 1","1-й набор звёздочек"
"Star set 2","2-й набор звёздочек"
"Star set 3","3-й набор звёздочек"
"Star set 4","4-й набор звёздочек"

"All","Все"
"Registered users","Регистрированные пользователи"
"Unregistered users","Нерегистрированные пользователи"
